Subject,Cond,Exper,Inifile,Date,Time,que1,ampInstr22,ampLong,que2,ampInstr11,ampShort,que3,introQuest,bidr_i,bidr_21,bidr_22,bidr_23,bidr_24,bidr_25,bidr_26,bidr_27,bidr_28,bidr_29,bidr_30,bidr_31,bidr_32,bidr_33,bidr_34,bidr_35,bidr_36,bidr_37,bidr_38,bidr_39,bidr_40,tintroQuest,tbidr_i,tbidr_21,tbidr_22,tbidr_23,tbidr_24,tbidr_25,tbidr_26,tbidr_27,tbidr_28,tbidr_29,tbidr_30,tbidr_31,tbidr_32,tbidr_33,tbidr_34,tbidr_35,tbidr_36,tbidr_37,tbidr_38,tbidr_39,tbidr_40,que4,bidr_i_2,bidr_21_2,bidr_22_2,bidr_23_2,bidr_24_2,bidr_25_2,bidr_26_2,bidr_27_2,bidr_28_2,bidr_29_2,bidr_30_2,bidr_31_2,bidr_32_2,bidr_33_2,bidr_34_2,bidr_35_2,bidr_36_2,bidr_37_2,bidr_38_2,bidr_39_2,bidr_40_2,tbidr_i_2,tbidr_21_2,tbidr_22_2,tbidr_23_2,tbidr_24_2,tbidr_25_2,tbidr_26_2,tbidr_27_2,tbidr_28_2,tbidr_29_2,tbidr_30_2,tbidr_31_2,tbidr_32_2,tbidr_33_2,tbidr_34_2,tbidr_35_2,tbidr_36_2,tbidr_37_2,tbidr_38_2,tbidr_39_2,tbidr_40_2,que5,instrConsc1,conscMPQ1,conscMPQ2,conscMPQ3,conscMPQ4,conscMPQ5,conscMPQ6,conscMPQ7,conscMPQ8,conscMPQ9,conscMPQ10,conscNEO1,conscNEO2,conscNEO3,conscNEO4,conscNEO5,conscNEO6,conscNEO7,conscNEO8,conscNEO9,conscNEO10,conscNEO11,conscNEO12,conscNEO13,conscNEO14,conscNEO15,conscNEO16,tinstrConsc1,tconscMPQ1,tconscMPQ2,tconscMPQ3,tconscMPQ4,tconscMPQ5,tconscMPQ6,tconscMPQ7,tconscMPQ8,tconscMPQ9,tconscMPQ10,tconscNEO1,tconscNEO2,tconscNEO3,tconscNEO4,tconscNEO5,tconscNEO6,tconscNEO7,tconscNEO8,tconscNEO9,tconscNEO10,tconscNEO11,tconscNEO12,tconscNEO13,tconscNEO14,tconscNEO15,tconscNEO16,que6,instConscAdj,conscAdj1,conscAdj2,conscAdj3,conscAdj4,conscAdj5,conscAdj6,conscAdj7,conscAdj8,conscAdj9,conscAdj10,conscAdj11,conscAdj12,tinstConscAdj,tconscAdj1,tconscAdj2,tconscAdj3,tconscAdj4,tconscAdj5,tconscAdj6,tconscAdj7,tconscAdj8,tconscAdj9,tconscAdj10,tconscAdj11,tconscAdj12,que7,que8,NFCinstr1,NFCinstr2,ncog1,ncog2,ncog3,ncog4,ncog5,ncog6,ncog7,ncog8,ncog9,ncog10,ncog11,ncog12,ncog13,ncog14,ncog15,ncog16,ncog17,ncog18,tNFCinstr1,tNFCinstr2,tncog1,tncog2,tncog3,tncog4,tncog5,tncog6,tncog7,tncog8,tncog9,tncog10,tncog11,tncog12,tncog13,tncog14,tncog15,tncog16,tncog17,tncog18,que9,instrPID,PID1_d,PID2_i,PID3_d,PID4_i,PID5_i,PID6_d,PID7_d,PID8_i,PID9_i,PID10_d,PID11_d,PID12_i,PID13_d,PID14_d,PID15_i,PID16_d,PID17_i,PID18_i,tinstrPID,tPID1_d,tPID2_i,tPID3_d,tPID4_i,tPID5_i,tPID6_d,tPID7_d,tPID8_i,tPID9_i,tPID10_d,tPID11_d,tPID12_i,tPID13_d,tPID14_d,tPID15_i,tPID16_d,tPID17_i,tPID18_i,que10,gender,ethn,age,debrWIT,debrAMP1,debrAMP2,debrAMP3,debrAMP4,debrAMP5,race1,race2,race3,race4,race5,race6,tdebrWIT,tdebrAMP1,tdebrAMP2,tdebrAMP3,tdebrAMP4,tdebrAMP5,que11,prfJPIinstr,prf_cs1,prf_im1,jpi_comp1,jpi_inno1,ppi1,prf_cs2,prf_im2,jpi_comp2,jpi_inno2,lkf1,prf_cs3,prf_im3,jpi_comp3,jpi_inno3,sps1,prf_cs4,prf_im4,jpi_comp4,jpi_inno4,ppi2,prf_cs5,prf_im5,jpi_comp5,jpi_inno5,lkf2,prf_cs6,prf_im6,jpi_comp6,jpi_inno6,sps2,prf_cs7,prf_im7,jpi_comp7,jpi_inno7,prf_cs8,prf_im8,jpi_comp8,jpi_inno8,prf_cs9,prf_im9,jpi_comp9,jpi_inno9,prf_cs10,prf_im10,jpi_comp10,jpi_inno10,prf_cs11,prf_im11,jpi_comp11,jpi_inno11,prf_cs12,prf_im12,jpi_comp12,jpi_inno12,prf_cs13,prf_im13,jpi_comp13,jpi_inno13,prf_cs14,prf_im14,jpi_comp14,jpi_inno14,prf_cs15,prf_im15,jpi_comp15,jpi_inno15,prf_cs16,prf_im16,jpi_comp16,jpi_inno16,jpi_comp17,jpi_inno17,jpi_comp18,jpi_inno18,jpi_comp19,jpi_inno19,jpi_comp20,jpi_inno20,tprfJPIinstr,tprf_cs1,tprf_im1,tjpi_comp1,tjpi_inno1,tppi1,tprf_cs2,tprf_im2,tjpi_comp2,tjpi_inno2,tlkf1,tprf_cs3,tprf_im3,tjpi_comp3,tjpi_inno3,tsps1,tprf_cs4,tprf_im4,tjpi_comp4,tjpi_inno4,tppi2,tprf_cs5,tprf_im5,tjpi_comp5,tjpi_inno5,tlkf2,tprf_cs6,tprf_im6,tjpi_comp6,tjpi_inno6,tsps2,tprf_cs7,tprf_im7,tjpi_comp7,tjpi_inno7,tprf_cs8,tprf_im8,tjpi_comp8,tjpi_inno8,tprf_cs9,tprf_im9,tjpi_comp9,tjpi_inno9,tprf_cs10,tprf_im10,tjpi_comp10,tjpi_inno10,tprf_cs11,tprf_im11,tjpi_comp11,tjpi_inno11,tprf_cs12,tprf_im12,tjpi_comp12,tjpi_inno12,tprf_cs13,tprf_im13,tjpi_comp13,tjpi_inno13,tprf_cs14,tprf_im14,tjpi_comp14,tjpi_inno14,tprf_cs15,tprf_im15,tjpi_comp15,tjpi_inno15,tprf_cs16,tprf_im16,tjpi_comp16,tjpi_inno16,tjpi_comp17,tjpi_inno17,tjpi_comp18,tjpi_inno18,tjpi_comp19,tjpi_inno19,tjpi_comp20,tjpi_inno20,que12,spi_Instr,spi_cnv1,spi_int1,spi_cnv2,spi_int2,spi_cnv3,spi_int3,spi_cnv4,spi_int4,spi_cnv5,spi_int5,spi_cnv6,spi_int6,spi_cnv7,spi_int7,spi_cnv8,spi_int8,spi_cnv9,spi_int9,spi_cnv10,spi_int10,spi_cnv11,spi_int11,spi_cnv12,spi_int12,spi_cnv13,spi_int13,spi_cnv14,spi_int14,spi_cnv15,spi_int15,tspi_Instr,tspi_cnv1,tspi_int1,tspi_cnv2,tspi_int2,tspi_cnv3,tspi_int3,tspi_cnv4,tspi_int4,tspi_cnv5,tspi_int5,tspi_cnv6,tspi_int6,tspi_cnv7,tspi_int7,tspi_cnv8,tspi_int8,tspi_cnv9,tspi_int9,tspi_cnv10,tspi_int10,tspi_cnv11,tspi_int11,tspi_cnv12,tspi_int12,tspi_cnv13,tspi_int13,tspi_cnv14,tspi_int14,tspi_cnv15,tspi_int15,que13,spi_Instr_2,spi_cnv1_2,spi_int1_2,spi_cnv2_2,spi_int2_2,spi_cnv3_2,spi_int3_2,spi_cnv4_2,spi_int4_2,spi_cnv5_2,spi_int5_2,spi_cnv6_2,spi_int6_2,spi_cnv7_2,spi_int7_2,spi_cnv8_2,spi_int8_2,spi_cnv9_2,spi_int9_2,spi_cnv10_2,spi_int10_2,spi_cnv11_2,spi_int11_2,spi_cnv12_2,spi_int12_2,spi_cnv13_2,spi_int13_2,spi_cnv14_2,spi_int14_2,spi_cnv15_2,spi_int15_2,tspi_Instr_2,tspi_cnv1_2,tspi_int1_2,tspi_cnv2_2,tspi_int2_2,tspi_cnv3_2,tspi_int3_2,tspi_cnv4_2,tspi_int4_2,tspi_cnv5_2,tspi_int5_2,tspi_cnv6_2,tspi_int6_2,tspi_cnv7_2,tspi_int7_2,tspi_cnv8_2,tspi_int8_2,tspi_cnv9_2,tspi_int9_2,tspi_cnv10_2,tspi_int10_2,tspi_cnv11_2,tspi_int11_2,tspi_cnv12_2,tspi_int12_2,tspi_cnv13_2,tspi_int13_2,tspi_cnv14_2,tspi_int14_2,tspi_cnv15_2,tspi_int15_2
1,5,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,10:45:56,AMP_Long,99,99,AMP_Short,ok,ok,BIDR,ok,ok,6,3,5,2,6,2,6,3,7,2,2,2,6,2,6,6,7,6,3,1,12485,21969,4578,6640,7766,3891,11593,4734,4453,5015,8562,7109,4797,4656,3203,7938,5031,7672,3625,6766,5016,4953,BIDR2,ok,6,3,5,2,6,2,7,3,6,2,3,2,6,3,6,6,7,6,3,6,3953,4782,6282,2484,4172,5016,12828,5250,4110,5437,3297,3547,2859,2906,6344,6094,2156,2250,3953,1563,1781,conscientiousness,ok,4,3,3,4,4,2,4,2,4,2,2,4,3,4,2,4,2,5,2,4,2,3,3,4,2,4,14750,3438,2875,5906,1750,2484,3093,3672,2828,2438,1906,2922,3860,3625,2625,2406,4000,3344,1937,2953,4984,1906,5657,2625,1594,4938,2360,conscientiousnessAdjectives,ok,4,2,4,4,3,2,4,2,2,2,4,2,2406,6359,1812,1328,1437,1797,1641,1453,1235,2672,1344,1594,1718,intro_slides,NFC,ok,ok,4,4,2,1,2,2,3,2,4,2,4,2,1,3,2,4,2,4,5297,11734,9266,6969,6797,11000,8031,5000,7813,8437,7484,11109,3219,5047,6328,3984,9703,15265,8906,3625,PID,ok,4,2,5,1,2,4,5,2,2,4,3,2,4,4,1,5,4,3,4469,7656,4672,3375,5328,5437,1968,5984,7984,5312,4172,15312,7500,4141,1515,2359,2828,1640,3375,post,1,Chinese,18,ok,2,2,ok,1,ok,3,2,2,2,1,2,47500,13688,10937,51641,5140,39062,PRFcsIM_JPIcompINNO_psycho,ok,2,4,4,4,2,3,4,4,4,4,2,2,4,4,5,4,4,4,1,2,3,2,4,4,4,2,3,5,3,4,1,3,4,3,4,4,2,4,2,2,4,4,5,4,1,2,2,2,2,3,4,3,2,2,2,2,3,2,4,4,4,4,4,2,2,4,4,3,1,2,4,4,2,2,3,2,3,4,5656,3375,3750,4953,4563,7859,9312,4391,3688,9110,5860,5906,7219,3469,3812,3062,9531,2547,7765,6719,6203,9437,6281,5281,4516,7719,5203,10813,5515,5813,2969,6172,2406,5125,5812,5297,10625,5843,5859,5906,4172,5484,3891,6265,3203,5500,4922,8500,3828,4984,4609,9468,4094,4985,7328,5172,8469,4359,4890,3781,2734,3578,5000,7922,5609,4047,12812,5719,6125,4907,5187,5953,10188,3828,7078,5766,5688,12782,6891,SPIcnvINT,ok,4,2,2,2,3,4,2,4,1,2,1,2,2,3,4,2,2,4,3,4,2,4,1,2,3,4,4,4,2,4,18375,4156,4594,8047,5984,7250,5078,7734,7125,7531,4469,5031,6859,5640,7766,5688,6578,5828,6640,8750,9078,11156,4859,4610,11453,6422,5344,4469,4187,4344,9047,SPIcnvINT2,ok,4,1,2,2,2,4,2,4,2,2,1,4,3,4,4,2,3,4,4,4,2,4,2,2,3,4,4,4,2,4,5312,6078,3031,4172,3672,4047,2735,3485,6313,2656,2063,2718,6969,2859,2406,3734,4625,2484,8750,1609,3625,5500,2750,2906,2890,4313,2687,3094,2953,2516,2547
2,3,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,10:46:51,AMP_Long,99,99,AMP_Short,ok,ok,BIDR,ok,ok,6,2,5,4,6,6,6,3,5,5,6,3,5,2,6,4,1,3,1,2,11171,19594,5031,5704,4890,4734,5782,7250,2812,8500,7031,6609,2844,6829,2703,5078,9062,3984,10437,5641,2812,3765,BIDR2,ok,5,4,5,5,5,5,5,5,5,4,6,5,5,1,6,5,2,2,2,2,4734,7953,8657,5344,3562,3609,8641,10813,7437,4453,3579,2781,5515,1860,2234,10453,3875,3282,7125,2750,2750,conscientiousness,ok,5,5,3,3,4,2,5,2,4,3,4,2,4,4,3,3,2,2,5,4,2,4,2,4,3,2,10578,6125,4218,3703,2610,3250,2656,3359,4422,2609,2875,2687,3812,4500,4046,3703,2438,6281,3016,6188,1844,1782,4313,2000,3219,1922,4437,conscientiousnessAdjectives,ok,4,2,4,3,3,3,4,3,2,4,4,2,3953,2407,1500,2343,3891,1562,4953,1515,1281,1672,2031,1359,2922,intro_slides,NFC,ok,ok,4,5,2,1,4,3,2,2,2,4,4,2,4,4,4,5,1,2,5922,4578,7391,3781,5109,13219,9156,7016,4328,4187,5390,4906,3453,6468,2781,3687,7672,5032,5547,4906,PID,ok,5,4,4,2,4,4,4,2,2,2,4,3,4,4,2,5,4,3,5750,5062,2812,6234,5125,6594,2703,7187,4281,1890,3000,5125,6547,10031,2297,2219,3328,2828,3344,post,2,Lebanese,18,ok,2,3,ok,1,ok,3,2,2,1,2,2,79859,10688,10375,51375,8406,16937,PRFcsIM_JPIcompINNO_psycho,ok,2,4,4,4,2,1,4,5,1,4,1,2,5,5,2,4,5,4,3,2,2,2,4,4,4,1,3,2,2,2,4,3,3,3,4,5,4,2,4,4,2,2,5,4,4,4,1,2,2,4,4,4,4,1,3,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,4,4,2,2,4,4,4,9860,3078,3812,5922,3782,6094,7625,3485,4766,6000,6422,4609,4390,4015,5672,3156,10141,3469,7437,4922,10234,10735,4328,6016,4657,9610,4860,7625,6812,5000,3797,5218,4140,3859,5344,10531,8000,9188,5391,9140,5188,4687,4359,3687,3281,3656,4203,6204,7360,3656,3172,4859,1813,3125,4516,8203,6563,3922,6140,4328,4187,3984,5297,8016,5375,2703,4343,7234,5062,2906,7297,7328,6047,5515,6593,9563,7016,6125,5844,SPIcnvINT,ok,5,4,5,2,5,3,4,2,1,3,1,4,4,4,3,1,5,2,2,2,4,4,4,2,5,2,2,1,4,4,28203,3375,4890,5094,8297,3938,7500,3578,7172,4046,5297,4687,10718,8422,4313,4812,3984,3968,6875,8312,4984,12062,4047,3907,9703,2516,7422,5828,4875,4125,5532,SPIcnvINT2,ok,5,3,5,1,5,2,5,2,1,3,1,4,4,4,2,2,1,1,3,1,4,4,4,2,5,2,1,1,3,4,4141,6313,2672,1969,3593,2531,5829,2735,5469,2500,2985,1906,5922,2203,2500,3032,6750,2328,8515,2484,5312,5328,4781,2734,4796,4015,4203,8828,11500,3266,3032
3,6,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,11:34:26,AMP_Long,ok,ok,AMP_Short,99,99,BIDR,ok,ok,5,2,2,2,2,2,5,4,4,2,1,5,7,7,6,6,2,4,3,4,8328,7219,5579,2922,3672,2922,5093,9328,3500,2000,2219,2032,3610,4094,5203,6953,5594,3672,4719,3703,2469,2531,BIDR2,ok,4,4,3,1,2,3,5,4,2,2,2,2,6,7,5,3,3,5,5,4,2531,3016,1656,2282,2093,3563,14953,2344,2765,4671,2875,3093,3234,2391,5688,10344,1719,4688,3610,1797,2704,conscientiousness,ok,4,3,3,4,4,2,4,3,2,2,2,2,2,2,2,3,3,3,4,2,3,4,4,3,3,4,5235,6360,1438,2688,1266,1547,2125,1938,1532,2235,1547,1703,1921,2406,2187,2593,1891,1641,3062,1234,2140,1609,2469,1047,3047,1219,13234,conscientiousnessAdjectives,ok,4,2,4,3,3,3,4,2,2,3,3,2,2735,6391,1203,1078,1469,1891,1484,1578,1156,984,1422,1500,2188,intro_slides,NFC,ok,ok,3,3,2,3,3,3,2,4,2,2,4,3,4,4,4,4,2,5,3188,12782,7375,4468,3828,8078,7547,10141,2235,3266,3907,8188,6438,3421,6281,1734,4328,3156,6656,5188,PID,ok,4,3,4,2,3,4,3,3,4,3,4,3,4,4,2,3,3,4,4062,5922,2594,2500,7797,5422,1375,4891,1860,1875,1844,11125,2687,7328,2031,2750,2938,1750,3578,post,1,Canadian,18,ok,2,3,ok,2,ok,3,2,2,2,1,1,14203,6485,5828,16547,3828,5938,PRFcsIM_JPIcompINNO_psycho,ok,3,3,2,3,3,2,4,2,2,5,2,3,3,4,5,3,4,4,4,1,2,4,4,4,4,2,4,4,2,4,2,2,3,3,3,3,4,3,4,2,2,4,3,3,2,2,2,2,2,2,4,3,3,2,4,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,4,3,2,3,3,2688,2954,13219,3469,2281,2547,5610,3032,3297,3906,4640,3406,3156,3360,1906,2063,2578,2235,4235,187,3438,11657,3032,4156,141,5281,3796,3578,4672,2812,1578,5657,3453,3375,1390,5828,2219,2829,2500,4437,2875,2656,2469,14140,2079,3406,3141,4406,2375,2563,2188,3141,2547,2156,3688,3125,4969,3531,1485,1610,2875,2578,11625,23235,7047,2031,2235,3344,2063,2032,1188,1000,1921,2094,3032,2391,5312,3110,7157,SPIcnvINT,ok,3,1,3,1,3,2,3,5,2,2,2,5,4,1,4,2,2,2,3,2,3,3,3,3,4,2,4,4,2,2,33422,3656,5000,4016,4000,6359,4250,3328,5859,6156,4563,4031,3953,2891,2765,3297,4266,6000,8235,3078,5015,5438,5265,4172,10485,5641,3907,2516,5812,14109,4203,SPIcnvINT2,ok,3,2,3,3,3,2,3,4,3,2,3,5,4,1,4,2,2,2,3,2,3,4,3,2,3,2,4,2,3,2,3062,2562,2063,1453,3687,1922,2375,1640,4125,7407,2469,1718,4297,1750,2469,3110,3641,4235,8234,1625,1938,4907,1547,2906,8921,5422,4203,1890,4031,2172,2391
4,4,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,11:44:49,AMP_Long,ok,ok,AMP_Short,99,99,BIDR,ok,ok,5,3,5,1,6,7,6,5,2,6,1,1,7,7,2,6,2,7,5,2,12032,12969,3219,4454,4047,2672,4109,6922,4750,5875,9047,8750,3735,4141,2860,3781,5515,4469,4703,7328,5422,3266,BIDR2,ok,5,2,5,1,6,7,5,3,1,7,1,1,7,7,2,7,3,7,5,1,9062,5688,5297,7172,1719,3797,6594,3422,3062,3656,2765,2531,3687,2188,2844,4796,9547,2656,3390,4079,3640,conscientiousness,ok,4,1,3,4,2,2,4,2,4,3,4,4,2,4,2,4,2,4,4,4,2,4,2,4,1,4,30188,3391,2312,3453,1844,2734,5438,2985,2563,2219,2078,3312,1797,3500,2797,2219,2438,4063,1563,2141,1156,4188,2156,1938,2297,3500,2516,conscientiousnessAdjectives,ok,4,2,5,3,2,4,4,2,1,4,4,1,13937,3546,1875,1375,1969,3140,3187,1187,2281,1578,5484,1547,1532,intro_slides,NFC,ok,ok,2,2,4,2,4,1,4,5,4,2,4,4,2,2,4,4,4,2,6453,12594,14094,4000,4125,7406,8109,4235,4281,4156,3703,6687,5547,6219,5938,3672,8093,9188,7000,5515,PID,ok,5,4,3,2,4,4,4,4,4,5,4,4,4,5,2,2,2,2,6187,3235,4125,7094,7031,7735,4032,9875,4437,3640,1984,11797,4766,4234,2813,2735,5047,1985,3359,post,1,Caucasian,18,ok,2,2,ok,2,ok,3,2,2,2,2,2,66563,8406,6640,55875,7047,13235,PRFcsIM_JPIcompINNO_psycho,ok,1,1,5,2,2,2,4,4,2,4,1,1,4,4,1,4,5,3,1,2,4,4,4,4,4,2,4,4,4,4,4,3,4,2,4,4,1,5,4,2,4,4,2,4,1,4,2,2,4,3,4,4,4,1,4,2,4,2,4,5,4,4,2,2,4,4,4,4,1,4,4,2,1,5,5,4,4,4,22266,4812,5469,5985,4047,6781,2906,8000,5125,5750,13625,5172,3015,3891,2860,4110,7047,2250,7765,7781,6391,11547,4890,4781,7156,4218,7187,7531,9406,7344,16750,5578,2828,4344,5375,5562,5078,9094,6485,13157,4016,4687,7078,9578,3844,6516,4875,6453,4656,3453,6141,5734,2641,14203,14422,7391,5172,6110,7125,4984,4890,6266,5203,19484,15203,4640,6469,4407,17625,2812,4625,3890,3672,3985,5344,4250,9766,13718,4656,SPIcnvINT,ok,4,2,5,2,4,5,4,2,4,5,3,4,4,2,4,4,4,4,4,4,4,5,3,2,3,2,4,4,2,2,23969,3281,6656,3328,9375,4000,4812,6015,7234,6766,4297,7906,4812,6000,4250,5735,4297,3953,7297,13484,6422,9687,4594,4781,6704,8797,5781,5437,11218,3547,9234,SPIcnvINT2,ok,4,4,5,1,4,5,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,5,4,2,4,2,4,4,2,2,12578,4750,4515,2078,4703,2687,2953,3906,4547,2688,1922,2250,4969,3562,2890,3953,2656,2140,6047,5391,1985,14375,2125,2500,3594,2968,3547,5625,4000,6563,3188
5,2,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,11:45:42,AMP_Long,ok,ok,AMP_Short,99,99,BIDR,ok,ok,2,2,1,5,6,4,1,4,1,5,2,3,4,1,1,5,6,7,3,7,13140,25000,7516,5782,3547,3438,9110,6094,5188,6453,8219,4250,6859,10390,7703,9375,688,12750,11235,7234,5204,5422,BIDR2,ok,1,6,1,5,3,3,1,3,2,5,2,1,4,1,6,3,5,2,4,1,2344,7344,9766,5110,2125,16360,5078,5297,5766,5125,2438,10750,5515,8812,2359,13578,4062,3140,4109,2625,1735,conscientiousness,ok,2,2,3,4,4,3,2,4,3,4,2,5,3,2,2,4,2,4,2,4,4,4,4,4,2,4,4438,4297,4406,4313,4047,1656,8671,2672,2937,3406,2921,3594,3141,2500,1625,3735,2719,4390,2125,3031,1719,2000,2063,1563,1844,6812,4781,conscientiousnessAdjectives,ok,2,2,4,4,3,4,4,3,2,4,2,3,2125,3187,2313,3328,3750,3328,1672,1172,1890,1687,2500,3359,2032,intro_slides,NFC,ok,ok,1,3,1,2,2,4,2,4,3,4,4,3,3,4,3,5,4,5,5000,5156,5750,7343,5297,18125,6766,4312,7281,5781,7609,9328,4672,6094,3516,4375,15203,8953,9204,5469,PID,ok,3,4,4,2,2,4,2,4,4,3,4,5,4,4,3,2,4,3,8937,7812,3438,6360,15657,8000,3094,5812,11672,3204,4672,8297,4344,6218,2609,2875,8875,4969,5203,post,2,white european,19,ok,2,4,ok,3,ok,3,2,2,1,1,2,86359,8125,7953,30000,8219,31531,PRFcsIM_JPIcompINNO_psycho,ok,2,4,2,4,3,1,4,2,2,5,3,4,3,4,4,4,2,4,2,2,2,4,4,4,4,1,2,2,2,4,2,2,2,4,4,4,2,4,4,4,3,3,4,2,4,2,2,4,4,3,2,3,3,2,4,4,5,2,4,2,4,2,4,5,2,4,2,4,4,2,2,4,4,2,4,4,3,4,9532,10625,6172,5547,3266,8704,4156,6828,4609,7375,5360,6594,4703,6828,7078,187,8578,2984,5062,7078,5344,10031,4516,4422,5125,9141,4250,5172,12641,3594,3157,5563,2875,8984,4532,5500,7797,5890,7000,4875,4765,8734,5469,6390,7609,4531,3594,4953,3063,3171,3469,9422,8328,11484,6422,3875,5953,7860,11609,3672,6266,5438,8234,8531,8438,6328,4625,9266,6579,5031,12313,4687,7422,2343,5000,5766,4390,4188,11656,SPIcnvINT,ok,5,2,4,1,5,5,3,4,4,2,1,2,4,2,5,2,3,1,5,2,3,2,3,4,5,2,2,2,2,3,19985,5172,7453,5562,7344,4718,6594,4766,6781,7422,3843,11828,4719,4656,7188,3687,9891,15843,9641,11391,8734,11812,4110,5000,7125,4437,8937,8250,4890,2625,6203,SPIcnvINT2,ok,5,2,4,2,5,2,3,4,4,2,2,4,4,2,5,2,3,2,4,2,4,2,3,4,5,2,4,2,3,2,2891,2235,6156,3360,4829,2922,4828,2188,3203,1985,3078,4109,4984,3844,3656,2593,5250,2234,6296,3266,2438,5875,3016,3687,6047,3016,3140,3094,6375,3297,2062
6,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy2\start.exp,default.mlp,2/26/2013,12:35:42,AMP_Long,99,99,AMP_Short,ok,ok,BIDR,ok,ok,5,2,6,1,5,3,6,6,5,5,5,1,5,1,7,4,5,2,6,5,6766,9532,5015,4234,3484,2312,4375,6375,8407,3641,3516,2797,2438,5109,5156,4844,2812,5453,3625,7516,2406,3063,BIDR2,ok,6,2,6,1,5,2,5,5,5,6,5,1,6,1,7,4,5,5,6,5,2469,4032,11266,2234,1922,4500,6938,2671,4750,5594,3938,2796,1969,3672,2453,2672,2969,3187,12093,5422,2109,conscientiousness,ok,3,3,3,4,2,4,5,4,2,5,5,4,5,4,2,4,3,1,4,4,2,4,5,4,4,2,10000,5547,3188,5579,2921,6875,2641,2359,1844,4078,2766,2125,2703,2453,6532,3407,2047,3828,2922,14266,2282,6562,8859,2500,2688,3593,3375,conscientiousnessAdjectives,ok,2,2,2,4,4,5,5,2,4,5,4,3,7797,5016,2046,109,6891,2390,1781,1562,2469,5515,2016,1187,4203,intro_slides,NFC,ok,ok,3,3,2,2,1,2,5,4,2,4,2,1,1,3,4,2,2,1,3891,5875,7203,5125,5844,5328,6438,7453,7234,5516,5797,3453,3954,4516,3782,3875,12250,8734,11000,5328,PID,ok,4,4,5,1,2,4,4,5,2,2,4,5,5,3,2,2,3,4,4468,4141,3000,4813,6266,4641,2672,4516,5437,5609,2781,5437,5781,4828,2938,3891,3797,2437,14672,post,2,Canadian,20,ok,2,2,ok,2,ok,3,2,2,1,1,2,23954,3860,8750,19703,5515,13062,PRFcsIM_JPIcompINNO_psycho,ok,4,2,3,3,1,1,4,4,5,2,3,5,5,4,1,4,2,2,2,2,4,4,2,3,4,1,2,5,4,3,5,3,5,2,5,1,2,4,4,3,2,1,1,2,3,2,4,2,2,3,2,4,5,3,4,2,5,4,3,1,4,5,2,4,5,4,3,4,2,4,3,3,4,5,1,3,5,4,4907,8266,3969,8531,4641,4672,4093,6687,2891,4156,5094,4672,3453,2719,14843,2375,4360,2469,2500,9343,3609,4281,3641,5297,6875,5719,3953,2610,6110,4718,2922,4546,6078,5375,10625,6172,4735,12485,6703,3984,5344,3562,5375,5781,2312,6140,3187,8250,3172,45969,4609,4265,3391,7000,3125,4469,6500,2875,2843,4406,5031,3547,4468,10734,6671,10063,3406,4922,4765,5672,4313,5391,4157,3406,3094,4563,3922,17922,4484,SPIcnvINT,ok,5,4,3,3,2,5,3,3,4,4,2,1,3,2,4,2,2,1,4,3,5,5,1,4,4,5,4,2,5,4,17672,3219,2625,4094,7438,4657,3657,4406,7188,3640,5703,4594,4640,7000,3609,3453,11641,7844,6375,4312,4469,13641,3859,3250,7203,2109,3218,3375,7015,3969,4125,SPIcnvINT2,ok,5,2,4,3,1,5,1,3,4,4,1,2,2,1,4,3,2,1,5,3,4,5,1,3,4,4,4,3,4,4,4500,2578,3344,5328,3688,2704,3938,4578,3156,4250,5610,4188,6844,4000,4672,2156,2703,2625,5156,5422,3578,3562,2703,5234,2985,1985,2250,1672,3797,5609,1641
